2025-04-10 15-30-57	INFO	handler/pvz.go:34	Successfully created PVZ	{"pvz": {"Id":"1be3f6ab-6aef-4ad1-ad90-980f4d580f68","RegistrationDate":"2025-04-10 12:30:57","City":"Москва"}}
2025-04-10 15-30-57	WARN	jwt/jwt.go:41	Access forbidden	{"requiredRole": "moderator", "claims": {"exp":1744374657,"iat":1744288257,"UserId":"d99eae43-d21e-4034-9743-7314e65bbb40","Role":"employee"}}
2025-04-10 15-30-57	INFO	jwt/jwt.go:46	Token verified	{"userId": "d99eae43-d21e-4034-9743-7314e65bbb40", "role": "employee"}
2025-04-10 15-30-57	INFO	service/reception.go:21	Calling repo to create reception	{"receptionId": "1be3f6ab-6aef-4ad1-ad90-980f4d580f68"}
2025-04-10 15-30-57	INFO	repository/reception.go:28	Creating new reception	{"pvzId": "1be3f6ab-6aef-4ad1-ad90-980f4d580f68"}
2025-04-10 15-30-57	INFO	repository/reception.go:42	Successfully created reception	{"receptionId": "75f07bbe-f575-4fdc-b685-5e0830a1414d"}
2025-04-10 15-30-57	INFO	service/reception.go:29	Successfully created reception	{"receptionId": "75f07bbe-f575-4fdc-b685-5e0830a1414d"}
2025-04-10 15-30-57	INFO	handler/reception.go:31	Reception created successfully	{"receptionId": "75f07bbe-f575-4fdc-b685-5e0830a1414d", "pvzId": "1be3f6ab-6aef-4ad1-ad90-980f4d580f68"}
2025-04-10 15-30-57	WARN	jwt/jwt.go:41	Access forbidden	{"requiredRole": "employee", "claims": {"exp":1744374657,"iat":1744288257,"UserId":"d4443411-c492-497f-b4b0-e0b6021a5417","Role":"moderator"}}
2025-04-10 15-31-34	INFO	service/user.go:97	Dummy token created	{"role": "employee"}
2025-04-10 15-31-34	INFO	handler/user.go:28	Dummy login successful	{"role": "employee"}
2025-04-10 15-31-34	INFO	repository/user.go:37	User created in database	{"userID": "46f1b7a1-dc90-4487-8b79-3a0cc04467b4", "email": "user@example.com"}
2025-04-10 15-31-34	INFO	service/user.go:41	User successfully created	{"userID": "46f1b7a1-dc90-4487-8b79-3a0cc04467b4", "email": "user@example.com"}
2025-04-10 15-31-34	INFO	handler/user.go:51	User registered successfully	{"userID": "46f1b7a1-dc90-4487-8b79-3a0cc04467b4", "email": "user@example.com"}
2025-04-10 15-31-34	INFO	repository/user.go:37	User created in database	{"userID": "39301334-e5ea-40c0-8595-68403a43168f", "email": "user2@example.com"}
2025-04-10 15-31-34	INFO	service/user.go:41	User successfully created	{"userID": "39301334-e5ea-40c0-8595-68403a43168f", "email": "user2@example.com"}
2025-04-10 15-31-34	INFO	handler/user.go:51	User registered successfully	{"userID": "39301334-e5ea-40c0-8595-68403a43168f", "email": "user2@example.com"}
2025-04-10 15-31-35	INFO	repository/user.go:56	User authentication successful	{"userID": "d99eae43-d21e-4034-9743-7314e65bbb40", "email": "user@example.com"}
2025-04-10 15-31-35	INFO	handler/user.go:72	Login successful	{"email": "user@example.com"}
2025-04-10 15-31-35	INFO	repository/user.go:56	User authentication successful	{"userID": "d4443411-c492-497f-b4b0-e0b6021a5417", "email": "user2@example.com"}
2025-04-10 15-31-35	INFO	handler/user.go:72	Login successful	{"email": "user2@example.com"}
2025-04-10 15-31-35	INFO	jwt/jwt.go:46	Token verified	{"userId": "d4443411-c492-497f-b4b0-e0b6021a5417", "role": "moderator"}
2025-04-10 15-31-35	INFO	handler/pvz.go:21	Creating new PVZ	{"request": {"City":"Москва"}}
2025-04-10 15-31-35	INFO	service/pvz.go:21	Calling repository to create PVZ	{"city": "Москва"}
2025-04-10 15-31-35	INFO	repository/pvz.go:29	Inserting new PVZ into database	{"city": "Москва"}
2025-04-10 15-31-35	INFO	repository/pvz.go:37	Successfully inserted PVZ	{"pvz": {"Id":"10801361-c73e-4268-bc5a-f3c7e2e96df2","RegistrationDate":"2025-04-10T12:31:35.11731Z","City":"Москва"}}
2025-04-10 15-31-35	INFO	service/pvz.go:29	Service successfully created PVZ	{"pvz": {"Id":"10801361-c73e-4268-bc5a-f3c7e2e96df2","RegistrationDate":"2025-04-10T12:31:35.11731Z","City":"Москва"}}
2025-04-10 15-31-35	INFO	handler/pvz.go:34	Successfully created PVZ	{"pvz": {"Id":"10801361-c73e-4268-bc5a-f3c7e2e96df2","RegistrationDate":"2025-04-10 12:31:35","City":"Москва"}}
2025-04-10 15-31-35	WARN	jwt/jwt.go:41	Access forbidden	{"requiredRole": "moderator", "claims": {"exp":1744374695,"iat":1744288295,"UserId":"d99eae43-d21e-4034-9743-7314e65bbb40","Role":"employee"}}
2025-04-10 15-31-35	INFO	jwt/jwt.go:46	Token verified	{"userId": "d99eae43-d21e-4034-9743-7314e65bbb40", "role": "employee"}
2025-04-10 15-31-35	INFO	service/reception.go:21	Calling repo to create reception	{"receptionId": "10801361-c73e-4268-bc5a-f3c7e2e96df2"}
2025-04-10 15-31-35	INFO	repository/reception.go:28	Creating new reception	{"pvzId": "10801361-c73e-4268-bc5a-f3c7e2e96df2"}
2025-04-10 15-31-35	INFO	repository/reception.go:42	Successfully created reception	{"receptionId": "34b811ad-10f6-4461-a3cb-73e59577247d"}
2025-04-10 15-31-35	INFO	service/reception.go:29	Successfully created reception	{"receptionId": "34b811ad-10f6-4461-a3cb-73e59577247d"}
2025-04-10 15-31-35	INFO	handler/reception.go:31	Reception created successfully	{"receptionId": "34b811ad-10f6-4461-a3cb-73e59577247d", "pvzId": "10801361-c73e-4268-bc5a-f3c7e2e96df2"}
2025-04-10 15-31-35	WARN	jwt/jwt.go:41	Access forbidden	{"requiredRole": "employee", "claims": {"exp":1744374695,"iat":1744288295,"UserId":"d4443411-c492-497f-b4b0-e0b6021a5417","Role":"moderator"}}
